"","mu1","mu2","sigma","delta","pi","BI"
"220380_at",3.96401402000673,5.60034204354225,0.435354984134327,3.75860638598003,0.0265468394310117,0.604214006449307
"220525_s_at",9.14811431828159,9.63152801850286,0.296274516323244,1.63164117596213,0.237504348055616,0.694351095029225
"221071_at",5.50797180381382,6.06533393874836,0.447225071442611,1.2462676413392,0.748380460662507,0.540810008692386
"221130_s_at",0.659560253299308,2.46537301594923,0.714256822660554,2.52824013066252,0.660095604196234,1.19756785849743
"221186_at",1.8222848838321,5.28953754066121,0.670007771584622,5.17494393927519,0.0365127121455297,0.97062325111183
"221306_at",6.26869070597608,7.28348262687181,0.316652697324431,3.20474743929313,0.866190212329805,1.09104932760642
"221391_at",5.56985967667419,5.98119984721535,0.251721029151978,1.63411126963418,0.226841631002736,0.684348368681623
"221525_at",1.36019955873155,3.9621057516191,0.894739573447873,2.9080039266187,0.138916667695945,1.00576092443896
"221892_at",7.8194446803816,8.09746714389097,0.369043799740525,0.753358988024878,0.42607539893072,0.372539754633266
"221913_at",5.91336242252092,6.5936853218033,0.325995686299783,2.08690767354744,0.0416324557034713,0.416855272650009
"222086_s_at",NA,NA,NA,NA,NA,NA
"222165_x_at",8.03926001309454,8.30689749204934,0.446719722802985,0.599117221141463,0.39626510020075,0.293040641565648
"222204_s_at",5.47652186901181,7.55829186635616,0.635187050245838,3.27741252996048,0.062130444909372,0.791142218072032
"222294_s_at",6.75128819417025,8.28731587419547,0.663385708802941,2.31543679588295,0.142803397149946,0.810107066923451
